train loss
['train loss: 0.07065739356781416']
['train loss: 0.065586577879715']
['train loss: 0.06338988297159925']
['train loss: 0.06210204154697019']
['train loss: 0.061443129740106184']
['train loss: 0.06106785900438524']
['train loss: 0.060804707378047336']
['train loss: 0.06066191087127411']
['train loss: 0.060553102355992774']
['train loss: 0.06026914184599941']
['train loss: 0.05997200902608051']
['train loss: 0.059726199233329814']
['train loss: 0.05954905221249309']
['train loss: 0.05935586272895052']
['train loss: 0.05919344244407705']
['train loss: 0.05900131521011459']
['train loss: 0.058825592696865554']
['train loss: 0.058673099284148725']
['train loss: 0.05854064094063781']
['train loss: 0.05841991574746153']
['train loss: 0.0582999405765602']
['train loss: 0.05818481910471823']
['train loss: 0.0581101009344872']
['train loss: 0.05834976816311744']
['train loss: 0.05842815591833135']
['train loss: 0.057986781064506665']
