train loss
['train loss: 0.07495716559147754']
['train loss: 0.07199252254753297']
['train loss: 0.07105996442091625']
['train loss: 0.06996018596311324']
['train loss: 0.06851412295191539']
['train loss: 0.06703359306516177']
['train loss: 0.06618979245916452']
['train loss: 0.06578565104517926']
['train loss: 0.06541598373881394']
['train loss: 0.06463424944870774']
['train loss: 0.06453002120702098']
['train loss: 0.06451414445299594']
['train loss: 0.06411626003147161']
['train loss: 0.06373995897858847']
['train loss: 0.06345398913349566']
['train loss: 0.06328767402351278']
['train loss: 0.06317738971858597']
['train loss: 0.0631473923903345']
['train loss: 0.06314051912646729']
['train loss: 0.06312345008560541']
['train loss: 0.06314217849025097']
['train loss: 0.06310407665232134']
['train loss: 0.06287467477581167']
['train loss: 0.06275130213565963']
['train loss: 0.06260066146315299']
['train loss: 0.06258480437422813']
['train loss: 0.06249938736317412']
['train loss: 0.06245006264218709']
['train loss: 0.06238900461532211']
['train loss: 0.06231549040872393']
['train loss: 0.062290171800559756']
['train loss: 0.062195727377531526']
['train loss: 0.062189634139241626']
['train loss: 0.06210276519758806']
['train loss: 0.06208260650673143']
['train loss: 0.06199427129272012']
['train loss: 0.061977557395556285']
['train loss: 0.06191212464550431']
['train loss: 0.06186846177392404']
['train loss: 0.06183290594908231']
['train loss: 0.06177356388374202']
['train loss: 0.06176398625363266']
['train loss: 0.06167516277307134']
['train loss: 0.06167252180853174']
['train loss: 0.06157897109214085']
['train loss: 0.06152142075970799']
['train loss: 0.06143928315424722']
['train loss: 0.06140138086489947']
['train loss: 0.06132303258731842']
['train loss: 0.06129139279985917']
['train loss: 0.06122162036531853']
['train loss: 0.06118427297053944']
['train loss: 0.06113129458264036']
['train loss: 0.06108864421257143']
['train loss: 0.061046865428244515']
