train loss
['train loss: 0.07699076809316395']
['train loss: 0.07281076912367576']
['train loss: 0.07194046380794994']
['train loss: 0.07132835212033511']
['train loss: 0.0706180095771713']
['train loss: 0.06966857212060203']
['train loss: 0.06848797177083897']
['train loss: 0.06730983057504422']
['train loss: 0.0664100529735311']
['train loss: 0.06585358671660357']
['train loss: 0.06569291401591945']
['train loss: 0.0652792646760903']
['train loss: 0.06468892212521452']
['train loss: 0.0644065862463829']
['train loss: 0.0641584676829429']
['train loss: 0.0639945818233757']
['train loss: 0.06385824061745404']
['train loss: 0.06372197743474328']
['train loss: 0.06360718040877299']
['train loss: 0.0635071220429257']
['train loss: 0.06341055692891914']
['train loss: 0.06334237741695672']
['train loss: 0.06322200841179654']
['train loss: 0.06315180994667162']
['train loss: 0.06303432471072133']
['train loss: 0.0629582115611379']
['train loss: 0.06287795879936459']
['train loss: 0.06281748776188502']
['train loss: 0.06274592219611289']
['train loss: 0.06271952212877054']
['train loss: 0.06264989614454085']
['train loss: 0.06264371281691981']
['train loss: 0.0625563484425993']
['train loss: 0.0625335250593274']
['train loss: 0.06245018097772718']
['train loss: 0.06241811294453141']
['train loss: 0.062348475012305296']
['train loss: 0.0623130168590663']
['train loss: 0.062271987164529585']
['train loss: 0.062247422864206814']
['train loss: 0.062244472342485875']
['train loss: 0.06220662096536957']
['train loss: 0.062258962657103074']
['train loss: 0.06215792605289994']
['train loss: 0.06218907448270883']
['train loss: 0.06210976816230658']
['train loss: 0.062081075534494524']
['train loss: 0.06202089839950962']
['train loss: 0.061980177789692295']
['train loss: 0.06194702894126141']
['train loss: 0.06191544706593744']
['train loss: 0.061888358923869444']
['train loss: 0.06187599727097163']
['train loss: 0.06183028216940629']
['train loss: 0.061823854495246376']
