train loss
['train loss: 0.07559056971343356']
['train loss: 0.07021855566052705']
['train loss: 0.06713760929197048']
['train loss: 0.06509984238816872']
['train loss: 0.06400132285903039']
['train loss: 0.06351195896206045']
['train loss: 0.06320102002658516']
['train loss: 0.06289621851858429']
['train loss: 0.06269441792781548']
['train loss: 0.06253602072398963']
['train loss: 0.06242486637813836']
['train loss: 0.06234263176291312']
['train loss: 0.0622194480932195']
['train loss: 0.062086304581626284']
['train loss: 0.062198573244021116']
['train loss: 0.0620536096455781']
['train loss: 0.06173603453503124']
['train loss: 0.061544267369250893']
['train loss: 0.06145690987440025']
['train loss: 0.06135140502065752']
['train loss: 0.061183059819222334']
['train loss: 0.06099568750198954']
['train loss: 0.06082264310023988']
['train loss: 0.06072062933448707']
['train loss: 0.06062508999325102']
['train loss: 0.060418139427238185']
['train loss: 0.060234695406812304']
['train loss: 0.06004312646988291']
['train loss: 0.059953536400036776']
['train loss: 0.059919913608898895']
['train loss: 0.05996885583483048']
